# POLYGON.IO REST API ENDPOINT AUDIT
# Generated: 2025-10-15
# Current Implementation: 53 tools in server.py
# Target: ~93 REST tools for complete coverage

# === SUMMARY STATISTICS ===
# Total Endpoints Documented: 93
# Currently Implemented: 53
# Missing (To Implement): 40
# Implementation Coverage: 57%
#
# By Asset Class:
# - Stocks: 35 endpoints (27 implemented, 8 missing)
# - Options: 25 endpoints (1 implemented, 24 missing)
# - Futures: 12 endpoints (12 implemented, 0 missing)
# - Indices: 15 endpoints (0 implemented, 15 missing)
# - Forex: 20 endpoints (3 implemented, 17 missing)
# - Crypto: 21 endpoints (6 implemented, 15 missing)
# - Economy: 3 endpoints (2 implemented, 1 missing)
#
# By Priority Tier:
# - Tier 1 (Critical): 12 endpoints missing
# - Tier 2 (Important): 18 endpoints missing
# - Tier 3 (Specialty): 10 endpoints missing
#
# Estimated Implementation Time:
# - Tier 1: 36 hours (12 endpoints × 3 hours avg)
# - Tier 2: 36 hours (18 endpoints × 2 hours avg)
# - Tier 3: 15 hours (10 endpoints × 1.5 hours avg)
# - Total: 87 hours (~11 days)

endpoint_path,asset_class,endpoint_name,implemented,current_tool_name,priority_tier,complexity,estimated_hours,sdk_method,notes
# === STOCKS (27/35 implemented = 77%) ===
/v2/aggs/ticker/{stocksTicker}/range/{multiplier}/{timespan}/{from}/{to},stocks,Aggregate Bars,Y,get_aggs,1,Low,0,polygon_client.get_aggs,"Core aggregates endpoint, already implemented"
/v2/aggs/ticker/{stocksTicker}/range/{multiplier}/{timespan}/{from}/{to},stocks,List Aggregate Bars (Iterator),Y,list_aggs,1,Low,0,polygon_client.list_aggs,"Iterator version of aggregates"
/v2/aggs/grouped/locale/us/market/stocks/{date},stocks,Grouped Daily Bars,Y,get_grouped_daily_aggs,2,Low,0,polygon_client.get_grouped_daily_aggs,"Market-wide daily snapshot"
/v1/open-close/{stocksTicker}/{date},stocks,Daily Open/Close,Y,get_daily_open_close_agg,1,Low,0,polygon_client.get_daily_open_close_agg,"Single day OHLC"
/v2/aggs/ticker/{stocksTicker}/prev,stocks,Previous Close,Y,get_previous_close_agg,1,Low,0,polygon_client.get_previous_close_agg,"Prior day close"
/v3/trades/{stockTicker},stocks,Trades (Historic),Y,list_trades,2,Low,0,polygon_client.list_trades,"Tick-level trade history"
/v2/last/trade/{stocksTicker},stocks,Last Trade,Y,get_last_trade,1,Low,0,polygon_client.get_last_trade,"Most recent trade"
/v3/quotes/{stockTicker},stocks,Quotes (Historic),Y,list_quotes,2,Low,0,polygon_client.list_quotes,"Historical NBBO quotes"
/v2/last/nbbo/{stocksTicker},stocks,Last Quote,Y,get_last_quote,1,Low,0,polygon_client.get_last_quote,"Current best bid/ask"
/v3/snapshot,stocks,Universal Snapshots,Y,list_universal_snapshots,2,Medium,0,polygon_client.list_universal_snapshots,"Cross-asset snapshots"
/v2/snapshot/locale/us/markets/stocks/tickers,stocks,All Tickers Snapshot,Y,get_snapshot_all,2,Low,0,polygon_client.get_snapshot_all,"Full market snapshot"
/v2/snapshot/locale/us/markets/stocks/{direction},stocks,Gainers/Losers,Y,get_snapshot_direction,2,Low,0,polygon_client.get_snapshot_direction,"Top market movers"
/v2/snapshot/locale/us/markets/stocks/tickers/{stocksTicker},stocks,Single Ticker Snapshot,Y,get_snapshot_ticker,1,Low,0,polygon_client.get_snapshot_ticker,"Current state of one stock"
/v1/marketstatus/upcoming,stocks,Market Holidays,Y,get_market_holidays,3,Low,0,polygon_client.get_market_holidays,"Trading calendar"
/v1/marketstatus/now,stocks,Market Status,Y,get_market_status,3,Low,0,polygon_client.get_market_status,"Current market state"
/v3/reference/tickers,stocks,List Tickers,Y,list_tickers,1,Low,0,polygon_client.list_tickers,"Search/discover tickers"
/v3/reference/tickers/{ticker},stocks,Ticker Details,Y,get_ticker_details,1,Low,0,polygon_client.get_ticker_details,"Company information"
/v2/reference/news,stocks,Ticker News,Y,list_ticker_news,2,Low,0,polygon_client.list_ticker_news,"Company news articles"
/v3/reference/tickers/types,stocks,Ticker Types,Y,get_ticker_types,3,Low,0,polygon_client.get_ticker_types,"List ticker classifications"
/v3/reference/splits,stocks,Stock Splits,Y,list_splits,2,Low,0,polygon_client.list_splits,"Historical stock splits"
/v3/reference/dividends,stocks,Dividends,Y,list_dividends,2,Low,0,polygon_client.list_dividends,"Dividend declarations"
/v3/reference/conditions,stocks,Condition Codes,Y,list_conditions,3,Low,0,polygon_client.list_conditions,"Trade/quote conditions"
/v3/reference/exchanges,stocks,Exchanges,Y,get_exchanges,3,Low,0,polygon_client.get_exchanges,"Exchange listings"
/vX/reference/financials,stocks,Stock Financials,Y,list_stock_financials,2,Medium,0,polygon_client.vx.list_stock_financials,"Financial statements"
/v1/indicators/sma/{stockTicker},stocks,Simple Moving Average (SMA),N,,2,Low,2,polygon_client.get_sma,"Technical indicator - stocks only implemented currently"
/v1/indicators/ema/{stockTicker},stocks,Exponential Moving Average (EMA),N,,2,Low,2,polygon_client.get_ema,"Technical indicator - stocks only"
/v1/indicators/macd/{stockTicker},stocks,MACD,N,,2,Low,2,polygon_client.get_macd,"Technical indicator - stocks only"
/v1/indicators/rsi/{stockTicker},stocks,RSI,N,,2,Low,2,polygon_client.get_rsi,"Technical indicator - stocks only"
/v1/related-companies/{ticker},stocks,Related Companies,N,,1,Medium,3,polygon_client.get_related_companies,"Find similar/peer stocks - TIER 1 PRIORITY"
/vX/reference/tickers/{id}/events,stocks,Ticker Events,N,,1,Medium,3,polygon_client.list_ticker_events,"Corporate events timeline - TIER 1 PRIORITY"
/v1/reference/ticker-changes,stocks,Ticker Changes,N,,1,Medium,3,polygon_client.list_ticker_changes,"Symbol change history - TIER 1 PRIORITY"
/vX/reference/ipos,stocks,List IPOs,Y,list_ipos,2,Low,0,polygon_client.vx.list_ipos,"IPO calendar"
/vX/reference/short-interest,stocks,Short Interest,Y,list_short_interest,2,Low,0,polygon_client.list_short_interest,"Short interest data"
/vX/reference/short-volume,stocks,Short Volume,Y,list_short_volume,2,Low,0,polygon_client.list_short_volume,"Daily short volume"
/vX/reference/benzinga/analyst-insights,stocks,Benzinga Analyst Insights,Y,list_benzinga_analyst_insights,3,Low,0,polygon_client.list_benzinga_analyst_insights,"Analyst ratings/insights"
